620019,DTDC,0,4
620019,Indiapost,0,5
620020,Delhivery,19999,2
620020,Fedex,4999999,1
620020,Dotzot,24999,3
620020,DTDC,0,4
620020,Indiapost,0,5
620021,Delhivery,19999,2
620021,Fedex,4999999,1
620021,Dotzot,24999,3
620021,DTDC,0,4
620021,Indiapost,0,5
620022,Delhivery,19999,2
620022,Fedex,4999999,1
620022,Dotzot,24999,3
620022,Indiapost,0,5
620023,Delhivery,19999,2
620023,Fedex,4999999,1
620023,Dotzot,24999,3
620023,DTDC,0,4
620023,Indiapost,0,5
620024,Delhivery,19999,2
620024,Fedex,4999999,1
620024,Dotzot,24999,3
620024,DTDC,0,4
620024,Indiapost,0,5
520009,Delhivery,19999,2
520009,Fedex,4999999,1
520009,Dotzot,24999,3
520009,DTDC,0,4
520009,Indiapost,0,5
520014,Delhivery,19999,2
520014,Fedex,4999999,1
520014,Dotzot,24999,3
520014,DTDC,0,4
520014,Indiapost,0,5
520005,Delhivery,19999,2
520005,Fedex,4999999,1
520005,DTDC,0,4
520005,Indiapost,0,5
520006,Delhivery,19999,2
520006,Fedex,4999999,1
520006,Dotzot,24999,3
520006,DTDC,0,4
520006,Indiapost,0,5
520001,Delhivery,19999,2
520001,Fedex,4999999,1
520001,Dotzot,24999,3
520001,DTDC,0,4
520001,Indiapost,0,5
520002,Delhivery,19999,2
520002,Fedex,4999999,1
520002,Dotzot,24999,3
520002,DTDC,0,4
520002,Indiapost,0,5
520003,Delhivery,19999,2
520003,Fedex,4999999,1
520003,Dotzot,24999,3
520003,DTDC,0,4
520003,Indiapost,0,5
520004,Delhivery,19999,2
520004,Fedex,4999999,1
520004,Dotzot,24999,3
520004,DTDC,0,4
520004,Indiapost,0,5
520008,Delhivery,19999,2
520008,Fedex,4999999,1
520008,Dotzot,24999,3
520008,DTDC,0,4
520008,Indiapost,0,5
520011,Delhivery,19999,2
520011,Fedex,4999999,1
520011,Dotzot,24999,3
520011,DTDC,0,4
520011,Indiapost,0,5
520012,Delhivery,19999,2
520012,Fedex,4999999,1
520012,Dotzot,24999,3
520012,DTDC,0,4
520012,Indiapost,0,5
520013,Delhivery,19999,2
520013,Fedex,4999999,1
520013,Dotzot,24999,3
520013,DTDC,0,4
520013,Indiapost,0,5
520015,Delhivery,19999,2
520015,Fedex,4999999,1
520015,Dotzot,24999,3
520015,DTDC,0,4
520015,Indiapost,0,5
575012,Delhivery,19999,2
575012,Fedex,4999999,1
575012,Indiapost,0,5
575001,Delhivery,19999,2
575001,Fedex,4999999,1
575001,Dotzot,24999,3
575001,DTDC,0,4
575001,Indiapost,0,5
575002,Delhivery,19999,2
575002,Fedex,4999999,1
575002,Dotzot,24999,3
575002,DTDC,0,4
575002,Indiapost,0,5
575003,Delhivery,19999,2
575003,Fedex,4999999,1
575003,Dotzot,24999,3
575003,DTDC,0,4
575003,Indiapost,0,5
575004,Delhivery,19999,2
